                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.00012,                0.97723,                0.99775,                 1.9627,              0.0023275,              0.0023275,              0.0023275
                     65,                0.00012,                0.97723,                0.99775,                 1.9627,              0.0022038,              0.0022038,              0.0022038
                     66,                0.00012,                0.97723,                0.99775,                 1.9627,                0.00208,                0.00208,                0.00208
                     67,                0.00012,                0.97733,                0.99775,                 1.9627,              0.0019563,              0.0019563,              0.0019563
                     68,                0.00013,                0.97733,                0.99765,                 1.9627,              0.0018325,              0.0018325,              0.0018325
                     69,                0.00013,                0.97723,                0.99765,                 1.9627,              0.0017087,              0.0017087,              0.0017087
                     70,                0.00011,                0.97723,                0.99765,                 1.9626,               0.001585,               0.001585,               0.001585
                     71,                0.00012,                0.97712,                0.99765,                 1.9627,              0.0014612,              0.0014612,              0.0014612
                     72,                0.00011,                0.97712,                0.99765,                 1.9627,              0.0013375,              0.0013375,              0.0013375
                     73,                0.00013,                0.97712,                0.99765,                 1.9627,              0.0012138,              0.0012138,              0.0012138
                     74,                0.00012,                0.97723,                0.99765,                 1.9626,                0.00109,                0.00109,                0.00109
                     75,                0.00013,                0.97723,                0.99765,                 1.9626,             0.00096625,             0.00096625,             0.00096625
                     76,                0.00012,                0.97723,                0.99765,                 1.9626,              0.0008425,              0.0008425,              0.0008425
                     77,                0.00012,                0.97744,                0.99765,                 1.9627,             0.00071875,             0.00071875,             0.00071875
                     78,                0.00012,                0.97744,                0.99765,                 1.9626,               0.000595,               0.000595,               0.000595
                     79,                0.00012,                0.97744,                0.99765,                 1.9627,             0.00047125,             0.00047125,             0.00047125
                     80,                0.00013,                0.97744,                0.99765,                 1.9626,              0.0003475,              0.0003475,              0.0003475
